Description,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12
DOORSTOP RACING CAR DESIGN,23.75,65.0,0.0,0.0,0.0,0.0,0.0,7.5,11.25,37.42,21.060000000000002,39.81,26.46
DOORSTOP RETROSPOT HEART,294.24,310.98,153.75,221.25,67.5,176.25,112.5,165.0,240.0,254.96,300.18,508.58,78.75
DOTCOMGIFTSHOP TEA TOWEL,0.0,0.0,19.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE CERAMIC PARLOUR HOOK,0.0,0.0,0.0,0.0,16.6,16.6,41.5,0.0,0.0,16.6,0.0,0.0,0.0
DOUGHNUT LIP GLOSS ,0.0,0.0,0.0,270.0,451.25,650.0,326.25,541.25,428.75,600.0,1050.0,1275.0,300.0
DOVE DECORATION PAINTED ZINC ,39.650000000000006,1.9500000000000002,3.9,7.15,7.15,19.5,3.9000000000000004,23.400000000000002,7.800000000000001,46.79,7.220000000000001,0.0,0.0
DRAGONS BLOOD INCENSE,5.25,0.0,5.25,5.25,0.0,0.0,10.29,5.25,10.5,10.5,5.25,5.25,0.0
DRAWER KNOB CERAMIC BLACK,0.0,0.0,0.0,0.0,0.0,0.0,117.44999999999999,157.1,95.7,217.49999999999997,142.1,169.64999999999998,10.149999999999999
DRAWER KNOB CERAMIC IVORY,0.0,0.0,0.0,0.0,0.0,0.0,169.64999999999998,258.59999999999997,263.9,342.2,339.29999999999995,477.04999999999995,177.79
DRAWER KNOB CERAMIC RED,0.0,0.0,0.0,0.0,0.0,0.0,75.39999999999999,73.0,60.89999999999999,178.35,100.05,145.0,1.45
DRAWER KNOB CRACKLE GLAZE BLUE,0.0,0.0,0.0,0.0,0.0,0.0,254.09999999999997,414.15,343.2,263.94,75.89999999999999,3.3,0.0
DRAWER KNOB CRACKLE GLAZE GREEN,0.0,0.0,0.0,0.0,0.0,0.0,311.84999999999997,333.29999999999995,270.59999999999997,235.95,230.99999999999997,247.49999999999997,92.39999999999999
DRAWER KNOB CRACKLE GLAZE IVORY,0.0,0.0,0.0,0.0,0.0,0.0,263.99999999999994,488.3999999999999,422.4,486.74999999999994,570.9,193.04999999999998,0.0
DRAWER KNOB CRACKLE GLAZE PINK,0.0,0.0,0.0,0.0,0.0,0.0,235.94999999999996,348.15,212.84999999999997,255.74999999999997,259.04999999999995,239.24999999999997,79.19999999999999
DRAWER KNOB VINTAGE GLASS BALL,0.0,0.0,0.0,0.0,0.0,0.0,37.44,74.88,87.36,220.33,126.88,97.76,24.96
DRAWER KNOB VINTAGE GLASS HEXAGON,0.0,0.0,0.0,0.0,0.0,0.0,62.400000000000006,24.96,79.03999999999999,87.36,31.200000000000003,124.80000000000001,62.4
DRAWER KNOB VINTAGE GLASS STAR,0.0,0.0,0.0,0.0,0.0,0.0,49.92,183.72,124.80000000000001,99.84,260.0,114.37,12.48
DROP DIAMANTE EARRINGS BLACK DIAMON,2.95,0.0,0.0,0.0,0.0,0.0,17.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0
DROP DIAMANTE EARRINGS CRYSTAL,2.95,0.0,0.0,0.0,0.0,0.0,17.700000000000003,0.0,0.0,17.700000000000003,0.0,0.0,0.0
DROP DIAMANTE EARRINGS GREEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.700000000000003,0.0,0.0,0.0
DROP DIAMANTE EARRINGS PURPLE,2.95,0.0,0.0,0.0,0.0,17.700000000000003,5.9,0.0,0.0,20.650000000000002,2.95,0.0,0.0
DROP EARRINGS W FLOWER & LEAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,0.0
DUSTY PINK CHRISTMAS TREE 30CM,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSTY PINK CHRISTMAS TREE 60CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.550000000000004,0.0
EASTER BUNNY GARLAND OF FLOWERS,0.0,10.08,16.8,139.44,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER BUNNY HANGING GARLAND,0.0,2.5,18.75,16.25,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER BUNNY WITH BASKET ON BACK,0.0,9.75,14.950000000000001,29.900000000000002,5.2,0.0,0.0,0.0,0.0,0.0,0.0,8.450000000000001,0.0
EASTER BUNNY WREATH,0.0,34.65,24.75,69.3,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER CRAFT 4 CHICKS ,0.0,388.04999999999995,563.55,980.8499999999999,300.29999999999995,23.4,0.0,3.9,23.4,23.4,5.85,29.25,23.4
EASTER CRAFT IVY WREATH WITH CHICK,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER DECORATION EGG BUNNY ,0.0,26.25,126.25,125.0,93.75,17.5,9.75,28.86,0.39,11.7,20.28,27.299999999999997,0.39
EASTER DECORATION HANGING BUNNY,0.0,30.55,51.35,105.30000000000001,26.650000000000002,9.1,2.6599999999999997,0.5700000000000001,0.0,6.08,3.23,13.49,2.2800000000000002
EASTER DECORATION NATURAL CHICK,26.650000000000002,29.900000000000002,70.2,83.2,44.2,22.1,0.65,7.800000000000001,0.0,6.5,0.0,9.100000000000001,0.0
EASTER DECORATION SITTING BUNNY,0.0,58.65,62.04999999999999,138.54999999999998,41.65,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER TIN BUCKET,61.199999999999996,170.85,209.1,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER TIN BUNNY BOUQUET,42.89999999999999,214.49999999999997,265.65,351.44999999999993,189.74999999999997,9.899999999999999,9.899999999999999,0.0,9.899999999999999,9.899999999999999,19.799999999999997,51.14999999999999,0.0
EASTER TIN CHICKS IN GARDEN,0.0,0.0,140.24999999999997,107.24999999999999,56.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASTER TIN CHICKS PINK DAISY,3.3,80.85,275.54999999999995,222.74999999999997,89.1,0.0,0.0,0.0,0.0,0.0,4.949999999999999,9.899999999999999,0.0
EASTER TIN KEEPSAKE,9.899999999999999,123.74999999999999,308.54999999999995,278.84999999999997,181.49999999999997,9.899999999999999,0.0,0.0,0.0,0.0,4.949999999999999,0.0,0.0
EASTER TREE YELLOW BIRDS,0.0,101.15,190.4,249.9,83.3,0.0,0.0,0.0,0.0,0.0,0.0,11.9,5.95
EAU DE NIL LOVE BIRD CANDLE,15.0,10.08,13.75,16.25,5.0,2.5,10.0,15.0,0.0,1.25,0.0,2.5,3.75
EAU DE NILE HEART SHAPE PHOTO FRAME,0.0,13.2,9.899999999999999,1.65,1.65,0.0,8.25,0.0,0.0,0.0,122.09999999999998,102.29999999999998,3.3
EAU DE NILE JEWELLED PHOTOFRAME,2.55,7.499999999999999,19.799999999999997,2.55,3.3,3.3,4.199999999999999,3.3,19.799999999999997,8.399999999999999,45.9,37.64999999999999,4.199999999999999
EAU DE NILE JEWELLED T-LIGHT HOLDER,11.9,8.5,2.55,0.0,0.0,0.0,5.1,0.0,0.0,0.0,25.5,8.5,1.7
ECONOMY HOLIDAY PURSE,2.95,0.0,0.0,2.95,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECONOMY LUGGAGE TAG,8.75,1.25,3.75,3.75,12.72,0.0,13.97,16.25,6.25,25.97,7.38,28.43,11.09
EDWARDIAN DROP EARRINGS JET BLACK,3.75,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.5
EDWARDIAN HEART PHOTO FRAME,0.0,0.0,0.0,0.0,0.0,157.70000000000002,33.2,58.10000000000001,91.30000000000001,99.60000000000001,99.60000000000001,58.10000000000001,12.450000000000001
EDWARDIAN PARASOL BLACK,850.6500000000001,410.55,487.9,309.40000000000003,386.75,446.25,774.95,906.1,559.25,745.45,871.45,696.1500000000001,196.35000000000002
EDWARDIAN PARASOL NATURAL,571.2,744.6,440.3,666.4000000000001,487.90000000000003,719.95,1026.8500000000001,1008.3000000000001,1088.75,1088.8500000000001,821.0,553.1500000000001,249.8
EDWARDIAN PARASOL PINK,136.85,89.25,148.75,208.25,208.25,95.2,166.60000000000002,485.75000000000006,184.45000000000002,285.6,258.6,214.20000000000002,113.05000000000001
EDWARDIAN PARASOL RED,808.85,493.85,400.3,469.3,208.25,285.6,243.95000000000002,612.85,493.8,797.3000000000001,603.7,606.9000000000001,214.20000000000002
EDWARDIAN PHOTO FRAME,0.0,0.0,0.0,0.0,12.5,87.5,62.5,12.5,112.5,81.25,75.0,87.5,12.5
EGG CUP HENRIETTA HEN CREAM ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5,192.5,0.0
EGG CUP HENRIETTA HEN PINK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,140.0,3.75
EGG CUP MILKMAID HEIDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.75,343.75,22.5
EGG CUP MILKMAID HELGA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.75,226.25,30.0
EGG CUP MILKMAID INGRID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,246.25,22.5
EGG CUP NATURAL CHICKEN,10.0,45.0,57.5,113.75,27.5,1.25,27.69,19.89,6.63,27.79,54.57,30.39,17.4
EGG FRYING PAN BLUE ,0.0,0.0,0.0,0.0,0.0,0.0,10.4,45.760000000000005,24.96,66.56,60.32,87.36,16.64
EGG FRYING PAN IVORY ,0.0,0.0,0.0,0.0,0.0,0.0,41.6,43.68,43.68,85.28,128.96,153.92000000000002,47.84
EGG FRYING PAN MINT ,0.0,0.0,0.0,0.0,0.0,0.0,14.56,31.200000000000003,39.52,49.92,81.12,116.48,18.72
EGG FRYING PAN PINK ,0.0,0.0,0.0,0.0,0.0,0.0,12.48,54.08,22.880000000000003,137.28,85.28,60.290000000000006,43.68
EGG FRYING PAN RED ,0.0,0.0,0.0,0.0,0.0,0.0,43.68,54.08,62.400000000000006,139.36,89.44,170.56,83.2
EIGHT PIECE CREEPY CRAWLIE SET,6.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIGHT PIECE DINOSAUR SET,22.5,67.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIGHT PIECE SNAKE  SET,2.5,33.75,31.25,46.25,1.25,32.5,17.5,25.0,2.5,8.75,62.5,101.25,23.75
ELEPHANT BIRTHDAY CARD ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,83.96000000000001,112.54,104.95,46.19
ELEPHANT CLIP W SUCTION CUP,0.0,4.2,0.0,0.42,0.0,1.26,0.0,0.84,0.0,0.0,0.0,0.0,0.0
"ELEPHANT, BIRTHDAY CARD, ",15.120000000000001,95.76,70.56,95.76,70.56,86.52,85.68,75.6,60.480000000000004,0.0,0.0,0.0,0.0
ELVIS WALLHANGING / CURTAIN,0.0,0.0,0.0,2.5,30.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBOSSED GLASS TEALIGHT HOLDER,150.0,68.75,81.25,121.25,110.0,196.25,78.75,207.5,142.5,160.44,223.63,308.47,91.98
EMBOSSED HEART TRINKET BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52000000000001,131.38,118.56,16.64
EMBROIDERED RIBBON REEL CLAIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,45.0,101.25,0.0
EMBROIDERED RIBBON REEL DAISY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.88000000000001,222.9,172.64000000000001,37.44
EMBROIDERED RIBBON REEL EMILY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.88,353.94,224.64000000000001,31.200000000000003
EMBROIDERED RIBBON REEL RACHEL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.05,245.65,83.81,17.34
EMBROIDERED RIBBON REEL REBECCA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.49000000000001,341.51,141.61,20.23
EMBROIDERED RIBBON REEL ROSIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36,170.9,124.80000000000001,22.880000000000003
EMBROIDERED RIBBON REEL RUBY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,108.75,48.75,26.25
EMBROIDERED RIBBON REEL SALLY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.76,233.3,241.28,27.04
EMBROIDERED RIBBON REEL SOPHIE  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.25,270.0,116.25,48.75
EMBROIDERED RIBBON REEL SUSIE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.92000000000002,239.20000000000002,143.52,20.8
EMERGENCY FIRST AID TIN ,145.0,128.75,23.75,76.25,55.0,71.25,45.0,20.0,30.0,63.63,49.64,87.18,8.67
EMPIRE BIRTHDAY CARD,40.32,20.16,50.400000000000006,60.48,35.28,40.32,30.24,25.2,45.36,40.32,15.120000000000001,52.89,5.04
EMPIRE DESIGN ROSETTE,12.5,6.25,25.0,82.5,30.0,2.5,12.5,0.0,2.5,0.0,25.0,13.75,0.0
EMPIRE GIFT WRAP,31.5,94.5,84.0,52.5,115.5,31.5,84.0,136.5,73.5,105.0,63.0,126.0,21.0
EMPIRE TISSUE BOX,23.75,16.25,1.25,15.0,81.25,15.0,2.5,5.07,10.530000000000001,9.36,31.200000000000003,38.7,2.73
EMPIRE UNION JACK TV DINNER TRAY,89.10000000000001,133.65,69.30000000000001,9.9,59.400000000000006,24.75,14.850000000000001,34.650000000000006,24.75,29.700000000000003,173.4,173.4,52.65
ENAMEL BLUE RIM BISCUIT BIN,9.9,99.0,146.54999999999998,94.05000000000001,60.2,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAMEL BLUE RIM COFFEE CONTAINER,2.1,27.300000000000004,12.600000000000001,47.46,39.839999999999996,19.919999999999998,0.0,0.0,0.0,0.0,1.66,4.1499999999999995,0.0
ENAMEL BLUE RIM TEA CONTAINER,0.0,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAMEL BOWL PANTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0
ENAMEL COLANDER CREAM,59.400000000000006,147.20000000000002,173.25,193.05,148.5,262.35,113.85000000000001,148.5,183.15,147.2,167.0,186.8,9.9
ENAMEL DINNER PLATE PANTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.799999999999997,0.0,0.0,0.0
ENAMEL FIRE BUCKET CREAM,139.0,145.95000000000002,34.75,166.54999999999998,83.4,104.25,104.25,145.7,222.4,69.5,166.8,125.10000000000001,6.95
ENAMEL FLOWER JUG CREAM,267.75,303.45000000000005,565.1500000000001,820.95,1564.5000000000002,1261.15,1684.2,1118.3000000000002,809.0500000000001,868.35,707.85,65.4,0.0
ENAMEL JUG PANTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0
ENAMEL MEASURING JUG CREAM,191.25,178.5,331.5,399.5,416.5,484.5,378.25,276.25,323.0,357.0,365.5,255.0,51.0
ENAMEL MUG PANTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
ENAMEL PINK COFFEE CONTAINER,12.600000000000001,37.800000000000004,12.600000000000001,67.38,69.72,108.72999999999999,99.6,29.879999999999995,19.919999999999998,19.919999999999998,27.389999999999997,0.0,0.0
ENAMEL PINK TEA CONTAINER,12.600000000000001,50.400000000000006,10.5,79.83,69.72,128.64999999999998,22.41,0.0,0.0,0.0,0.0,0.0,0.0
ENAMEL WASH BOWL CREAM,45.0,155.95,182.2,167.2,193.45,184.4,152.2,148.45,198.75,205.35000000000002,174.7,118.45,18.75
ENAMEL WATERING CAN CREAM,49.5,176.9,173.25,183.15,252.45000000000002,492.40000000000003,418.05,257.40000000000003,163.35,118.80000000000001,133.65,193.05,9.9
ENCHANTED BIRD COATHANGER 5 HOOK,167.4,470.91,323.94,306.90000000000003,343.32,195.3,93.00000000000001,144.15,176.70000000000002,204.60000000000002,356.49,398.34000000000003,88.35000000000001
ENCHANTED BIRD PLANT CAGE,22.5,69.7,80.95,41.25,195.65,82.5,0.0,8.850000000000001,0.0,0.0,0.0,0.0,0.0
ENGLISH ROSE GARDEN SECATEURS,114.75,179.85,88.64999999999999,40.949999999999996,48.75,157.95,40.949999999999996,141.41,220.41000000000003,283.61,92.43,18.96,0.0
ENGLISH ROSE HOT WATER BOTTLE,1087.5,246.5,76.5,93.5,46.75,17.0,34.0,157.25,174.25,643.25,880.5,1207.75,131.75
ENGLISH ROSE METAL WASTE BIN,0.0,14.75,2.95,17.7,5.9,11.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0
ENGLISH ROSE NOTEBOOK A6 SIZE,0.0,0.0,0.0,13.65,35.1,1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLISH ROSE NOTEBOOK A7 SIZE,24.36,16.38,27.72,50.4,44.94,52.5,58.8,37.8,82.74,44.519999999999996,91.98,112.97,28.13
ENGLISH ROSE SCENTED HANGING FLOWER,21.25,4.25,12.75,0.0,0.0,8.5,45.75,50.25,14.25,21.75,15.0,0.0,0.0
ENGLISH ROSE SCENTED HANGING HEART,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLISH ROSE SMALL SCENTED FLOWER,6.8,0.85,1.7,1.7,10.2,3.4,17.0,3.4,8.5,34.85,12.75,45.05,17.0
ENGLISH ROSE SPIRIT LEVEL ,54.45,63.15,25.549999999999997,1.95,1.95,27.299999999999997,3.9,11.06,112.18,68.2,80.43,87.94,63.980000000000004
ENVELOPE 50 BLOSSOM IMAGES,0.0,0.0,11.899999999999999,20.4,51.61,45.36,45.48,32.76,17.64,58.26,49.68,1.26,0.0
ENVELOPE 50 CURIOUS IMAGES,4.25,0.0,5.1,1.7,9.24,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENVELOPE 50 ROMANTIC IMAGES,0.0,0.0,0.0,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,12.42,4.32,7.02,4.32,4.32,8.28,4.32,3.6,0.0,0.0,0.0,0.0,0.0
ETCHED GLASS COASTER,5.0,17.5,12.5,25.0,27.689999999999998,21.060000000000002,23.4,26.52,6.24,10.14,15.99,0.0,0.0
EUCALYPTUS & PINECONE  WREATH,108.0,0.0,0.0,0.0,183.3,0.0,13.5,0.0,40.5,209.90000000000003,356.95000000000005,64.9,0.0
FAIRY CAKE BIRTHDAY CANDLE SET,78.75,127.5,63.75,191.25,105.0,120.0,135.0,168.75,75.0,86.25,138.75,30.0,15.0
FAIRY CAKE DESIGN UMBRELLA,172.5,132.9,60.0,60.0,11.25,108.75,45.0,161.25,123.75,273.75,78.75,53.1,0.0
FAIRY CAKE FLANNEL ASSORTED COLOUR,321.3,206.54999999999998,99.44999999999999,244.8,71.4,25.5,45.9,94.35,114.75,191.25,461.44,924.73,200.58
FAIRY CAKE NOTEBOOK A5 SIZE,38.25,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAIRY CAKES NOTEBOOK A6 SIZE,17.55,49.400000000000006,29.25,14.950000000000001,27.950000000000003,47.45,26.0,49.4,40.300000000000004,53.3,97.17,82.71000000000001,2.6
FAIRY CAKES NOTEBOOK A7 SIZE,10.5,9.66,18.9,52.08,25.2,25.2,42.0,14.7,18.48,17.64,69.69,20.15,2.5
FAIRY DREAMS INCENSE ,5.25,5.25,10.5,10.5,5.25,10.5,15.75,10.5,15.75,10.5,5.25,15.75,5.25
FAIRY SOAP SOAP HOLDER,69.29,89.57000000000001,57.46,87.88000000000001,54.08,11.829999999999998,20.28,1.69,0.0,0.0,0.0,0.0,0.0
FAIRY TALE COTTAGE NIGHT LIGHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.59999999999997,370.79999999999995,434.84999999999997,150.14999999999998
FAIRY TALE COTTAGE NIGHTLIGHT,284.7,163.79999999999998,97.5,122.85,97.5,120.89999999999999,128.7,48.75,175.5,0.0,23.4,0.0,0.0
FAMILY ALBUM WHITE PICTURE FRAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.24,0.0,0.0,0.0
FAMILY PHOTO FRAME CORNICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.52,0.0,0.0,0.0
FAN BLACK FRAME ,0.0,0.0,0.0,1.45,0.0,0.0,2.9,8.41,0.58,0.8699999999999999,2.9,6.379999999999999,0.58
"FANCY FONT BIRTHDAY CARD, ",126.0,80.64,85.68,146.16,85.68,90.72,95.76,100.8,70.56,126.0,141.12,171.36,50.4
FANCY FONTS BIRTHDAY WRAP,31.5,94.5,168.0,157.5,210.0,220.5,115.5,220.5,210.0,210.0,262.5,273.0,94.5
FANNY'S REST STOPMETAL SIGN,207.9,126.00000000000001,184.08,241.50000000000003,117.60000000000001,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAWN AND MUSHROOM GREETING CARD,5.04,35.28,0.0,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAWN BLUE HOT WATER BOTTLE,1320.8500000000001,236.00000000000003,162.25000000000003,73.75000000000001,94.4,38.35000000000001,64.9,120.95000000000002,295.00000000000006,480.6,729.54,1267.83,363.75
"FEATHER PEN,COAL BLACK",61.199999999999996,30.599999999999998,51.0,31.449999999999996,51.0,51.849999999999994,57.0,51.48,28.08,59.78,87.19999999999999,143.79,30.869999999999997
"FEATHER PEN,HOT PINK",40.8,81.6,61.199999999999996,20.4,10.2,71.39999999999999,37.44,74.88,70.19999999999999,145.41,137.29999999999998,234.36999999999998,42.12
"FEATHER PEN,LIGHT PINK",21.25,71.39999999999999,10.2,11.899999999999999,25.5,51.0,42.12,65.52,70.19999999999999,78.59,83.55999999999999,115.08999999999999,24.529999999999998
FELT EGG COSY BLUE RABBIT ,24.65,40.8,77.35,112.19999999999999,11.049999999999999,0.0,0.0,0.0,10.2,4.18,5.81,24.58,0.0
FELT EGG COSY CHICKEN,26.349999999999998,112.19999999999999,107.94999999999999,190.39999999999998,28.05,0.0,10.2,30.599999999999998,30.599999999999998,11.05,16.79,32.3,5.029999999999999
FELT EGG COSY LADYBIRD ,0.0,13.6,0.0,7.6499999999999995,0.0,0.0,0.0,0.0,20.4,4.18,0.0,10.84,0.0
FELT EGG COSY WHITE RABBIT ,1.7,96.05,95.19999999999999,161.5,15.299999999999999,0.0,0.0,0.0,10.2,4.18,9.07,15.299999999999999,3.26
FELT FARM ANIMAL CHICKEN,3.75,27.5,85.0,166.25,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELT FARM ANIMAL HEN,15.0,36.25,1.25,66.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELT FARM ANIMAL RABBIT,15.0,51.25,50.0,168.75,46.25,0.0,15.0,0.0,0.0,0.0,0.0,16.25,0.0
FELT FARM ANIMAL SHEEP,0.0,15.0,43.75,35.0,12.5,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
FELT FARM ANIMAL WHITE BUNNY ,10.2,64.6,30.599999999999998,107.94999999999999,30.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELT TOADSTOOL  SMALL,35.699999999999996,30.599999999999998,12.749999999999998,45.9,50.15,1.7,1.7,1.7,16.15,27.2,20.4,53.55,20.4
FELT TOADSTOOL LARGE,60.0,60.0,78.75,98.75,91.25,1.25,8.75,0.0,15.0,10.0,12.5,36.25,30.0
FELTCRAFT 6 FLOWER FRIENDS,424.20000000000005,340.20000000000005,378.00000000000006,575.4000000000001,457.80000000000007,640.5000000000001,443.1,558.6,531.3000000000001,524.72,339.57000000000005,25.2,0.0
FELTCRAFT BOY JEAN-PAUL KIT,0.0,0.0,0.0,103.95,257.40000000000003,183.15,69.30000000000001,123.75000000000001,222.75,94.05,296.09000000000003,251.0,99.0
FELTCRAFT BUTTERFLY HEARTS,411.79999999999995,204.45,359.59999999999997,426.29999999999995,316.09999999999997,437.9,317.54999999999995,281.29999999999995,401.65,683.8399999999999,749.92,3.29,0.0
FELTCRAFT CHRISTMAS FAIRY,790.5,0.0,8.5,29.75,4.25,12.75,12.75,34.0,89.25,841.5,1327.5,1418.75,308.5
FELTCRAFT CUSHION BUTTERFLY,945.33,296.25,287.61,520.11,277.5,467.61,381.36,529.08,456.36,861.28,347.61,0.0,0.0
FELTCRAFT CUSHION OWL,925.44,225.0,296.25,543.75,397.5,478.86,270.0,518.97,575.22,689.96,1207.14,1457.15,90.0
FELTCRAFT CUSHION RABBIT,863.97,326.25,326.25,756.36,520.11,445.11,370.11,366.36,527.61,945.29,298.86,3.75,0.0
FELTCRAFT DOLL EMILY,224.20000000000005,85.55000000000001,100.30000000000001,177.00000000000003,64.9,153.4,194.70000000000002,106.20000000000002,227.15000000000003,268.45000000000005,493.5300000000001,722.4200000000001,159.3
FELTCRAFT DOLL MARIA,129.8,97.35000000000001,97.35000000000001,32.45,50.150000000000006,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELTCRAFT DOLL MOLLY,265.50000000000006,64.9,227.15000000000003,236.00000000000003,168.15000000000003,348.1,206.50000000000003,200.60000000000002,247.8,403.93000000000006,550.9000000000001,867.0800000000002,185.63000000000002
FELTCRAFT DOLL ROSIE,197.65000000000003,250.75000000000003,256.65000000000003,268.45000000000005,129.8,221.25000000000003,206.50000000000003,179.95000000000002,271.40000000000003,374.5400000000001,599.09,766.8900000000001,0.0
FELTCRAFT GIRL AMELIE KIT,0.0,0.0,0.0,396.0,420.75,361.35,242.55,217.8,381.15000000000003,490.05,838.0500000000001,861.3000000000001,232.65
FELTCRAFT GIRL NICOLE KIT,0.0,0.0,0.0,217.8,222.75,227.70000000000002,163.35000000000002,247.5,252.45,193.05,550.35,712.8000000000001,193.05
FELTCRAFT HAIRBAND PINK AND BLUE,56.099999999999994,45.05,13.599999999999998,96.05,2.55,35.699999999999996,51.0,55.25,39.099999999999994,41.65,106.25,62.05,32.3
FELTCRAFT HAIRBAND PINK AND PURPLE,90.95,42.5,34.0,73.94999999999999,26.349999999999998,20.4,24.65,32.3,31.449999999999996,27.13,71.97,166.89,32.94
FELTCRAFT HAIRBAND RED AND BLUE,64.6,22.099999999999998,44.199999999999996,52.699999999999996,45.9,33.15,13.599999999999998,2.55,21.25,53.55,77.35,164.04999999999998,49.3
FELTCRAFT HAIRBANDS PINK AND WHITE ,72.25,55.25,62.05,82.44999999999999,30.599999999999998,28.9,25.5,30.599999999999998,54.4,40.379999999999995,76.14999999999999,148.89999999999998,4.18
FELTCRAFT PRINCESS CHARLOTTE DOLL,528.75,195.0,243.75,333.75,292.5,225.0,176.25,300.0,431.25,588.75,995.75,993.75,277.46
