StockCode,Description,TotalQty,TotalRevenue,LastSold,FirstSold,NumOrders,DaysSinceLastSale
21615,4 LAVENDER BOTANICAL DINNER CANDLES,671,983.75,2011-12-04 15:00:00,2010-12-09 12:20:00,98,4
21616,4 PEAR BOTANICAL DINNER CANDLES,635,943.75,2011-12-08 13:04:00,2010-12-05 15:12:00,102,0
21617,4 LILY  BOTANICAL DINNER CANDLES,434,803.0,2011-11-20 11:33:00,2010-12-06 17:16:00,75,19
21618,4 WILDFLOWER BOTANICAL CANDLES,301,471.25,2011-11-14 17:40:00,2010-12-06 12:41:00,51,24
21619,4 VANILLA BOTANICAL CANDLES,716,1022.5,2011-12-08 13:50:00,2010-12-13 13:10:00,119,0
21620,SET OF 4 ROSE BOTANICAL CANDLES,795,1188.75,2011-12-09 11:26:00,2010-12-01 16:57:00,124,0
21621,VINTAGE UNION JACK BUNTING,1,7.45,2011-02-02 14:39:00,2011-02-02 14:39:00,1,309
21622,VINTAGE UNION JACK CUSHION COVER,358,1755.3000000000002,2011-12-07 14:12:00,2010-12-01 10:03:00,92,1
21624,VINTAGE UNION JACK DOORSTOP,203,1184.8500000000001,2011-12-04 12:52:00,2010-12-05 13:55:00,82,4
21625,VINTAGE UNION JACK APRON,300,2070.0,2011-12-07 15:07:00,2010-12-01 13:21:00,112,1
21626,VINTAGE UNION JACK PENNANT,633,1234.35,2011-11-21 16:24:00,2010-12-05 11:04:00,71,17
21629,SQUARE FLOOR CUSHION VINTAGE RED,10,69.5,2011-10-18 12:17:00,2011-10-16 13:23:00,2,52
21631,HIPPY CHIC DECORATIVE PARASOL,108,426.6,2011-01-21 13:13:00,2010-12-14 12:59:00,9,321
21632,VINTAGE PINK DECORATIVE PARASOL,60,237.00000000000003,2011-01-05 10:35:00,2010-12-14 12:59:00,5,338
21633,SUNFLOWER DECORATIVE PARASOL,36,142.20000000000002,2011-01-19 11:50:00,2010-12-16 17:43:00,3,324
21634,ASSORTED MINI MADRAS NOTEBOOK,420,256.68,2011-09-29 11:39:00,2011-03-04 10:21:00,18,71
21635,MADRAS NOTEBOOK LARGE ,126,187.5,2011-07-13 11:00:00,2010-12-05 12:42:00,14,149
21636,MADRAS NOTEBOOK MEDIUM,635,492.45,2011-12-05 14:29:00,2011-02-10 09:21:00,66,3
21637,ASSORTED SANSKRIT MINI NOTEBOOK,73,91.25,2011-10-10 15:27:00,2011-03-20 15:02:00,5,59
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,185,388.50000000000006,2011-12-08 13:50:00,2010-12-06 13:34:00,30,0
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,385,327.25,2011-12-08 13:50:00,2010-12-05 16:00:00,44,0
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,296,134.23999999999998,2011-09-11 14:09:00,2011-02-10 16:52:00,17,88
21642,ASSORTED TUTTI FRUTTI PEN,1035,336.54999999999995,2011-12-05 17:36:00,2010-12-03 14:54:00,70,3
21643,ASSORTED TUTTI FRUTTI MIRROR,282,347.94,2011-11-09 16:28:00,2010-12-01 16:57:00,27,29
21644,ASSORTED TUTTI FRUTTI HEART BOX,215,268.75,2011-11-27 16:27:00,2010-12-06 13:13:00,32,11
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,106,222.60000000000002,2011-11-27 12:00:00,2010-12-06 12:41:00,24,12
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,430,532.94,2011-11-14 14:02:00,2010-12-06 12:40:00,28,24
21650,ASSORTED TUTTI FRUTTI BRACELET,792,173.94000000000003,2011-12-07 12:55:00,2010-12-05 12:53:00,45,1
21651,HANGING GLASS ETCHED TEALIGHT,53,87.44999999999999,2011-02-21 13:51:00,2010-12-01 12:15:00,8,290
21654,RIDGED GLASS FINGER BOWL,184,135.35999999999999,2011-09-18 12:21:00,2010-12-01 13:21:00,30,82
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,36,60.84,2011-02-11 13:53:00,2011-01-11 13:54:00,2,300
21656,RIDGED GLASS POSY VASE ,117,169.64999999999998,2011-04-21 13:22:00,2010-12-15 12:09:00,17,231
21657,MILK BOTTLE WITH GLASS STOPPER ,28,194.60000000000002,2011-02-20 13:18:00,2010-12-01 13:21:00,15,291
21658,GLASS  BEURRE DISH,626,2374.06,2011-07-19 12:10:00,2010-12-01 13:21:00,123,143
21661,VINTAGE GLASS TEA CADDY,3,17.85,2011-02-22 13:20:00,2011-01-04 11:34:00,3,289
21662,VINTAGE GLASS COFFEE CADDY,26,154.70000000000002,2011-08-15 14:17:00,2010-12-01 13:21:00,15,115
21664,RIDGED GLASS STORAGE JAR CREAM LID,48,180.0,2011-10-17 12:22:00,2010-12-01 12:49:00,16,53
21666,RIDGED GLASS T-LIGHT HOLDER,336,218.4,2011-12-06 11:39:00,2010-12-13 15:12:00,32,3
21668,RED STRIPE CERAMIC DRAWER KNOB,3255,4255.79,2011-12-09 11:34:00,2010-12-01 15:21:00,313,0
21669,BLUE STRIPE CERAMIC DRAWER KNOB,3406,4480.5,2011-12-09 11:34:00,2010-12-02 10:39:00,329,0
21670,BLUE SPOT CERAMIC DRAWER KNOB,2792,3624.64,2011-12-09 11:34:00,2010-12-01 14:41:00,274,0
21671,RED SPOT CERAMIC DRAWER KNOB,2699,3502.39,2011-12-07 12:49:00,2010-12-02 10:39:00,261,2
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2842,3704.1,2011-12-07 12:49:00,2010-12-01 09:41:00,284,2
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,2783,3631.19,2011-12-09 11:34:00,2010-12-02 10:39:00,262,0
21675,BUTTERFLIES STICKERS,483,416.78999999999996,2011-12-05 17:17:00,2010-12-06 10:19:00,50,3
21676,FLOWERS  STICKERS,211,191.04999999999998,2011-11-30 09:53:00,2010-12-01 11:45:00,32,9
21677,HEARTS  STICKERS,730,629.0799999999999,2011-12-01 12:53:00,2010-12-03 12:24:00,79,7
21678,PAISLEY PATTERN  STICKERS,104,88.39999999999999,2011-11-25 11:25:00,2010-12-01 11:45:00,16,14
21679,SKULLS  STICKERS,856,727.5999999999999,2011-12-07 13:53:00,2010-12-02 12:47:00,82,1
21680,WOODLAND  STICKERS,576,489.59999999999997,2011-12-07 12:41:00,2010-12-06 15:13:00,50,2
21682,LARGE MEDINA STAMPED METAL BOWL ,176,871.2,2011-12-04 13:00:00,2010-12-05 12:42:00,49,4
21683,MEDIUM MEDINA STAMPED METAL BOWL ,267,787.6500000000001,2011-12-05 16:05:00,2010-12-05 13:49:00,47,3
21684,SMALL MEDINA STAMPED METAL BOWL ,248,212.41,2011-12-09 12:31:00,2010-12-09 09:27:00,33,0
21688,SILVER PLATE CANDLE BOWL SMALL,268,790.6000000000001,2011-11-30 09:53:00,2010-12-01 13:51:00,38,9
21689,SILVER VANILLA  FLOWER CANDLE POT,92,345.0,2011-12-06 12:45:00,2010-12-07 15:39:00,23,3
21690,SILVER  CANDLEPOT JARDIN ,22,82.5,2011-01-30 15:48:00,2010-12-01 13:54:00,7,312
21692,SILVER LATTICE VANILLA CANDLE POT,17,63.75,2011-02-25 11:56:00,2010-12-06 12:41:00,7,287
21693,SMALL HAMMERED SILVER CANDLEPOT ,310,914.5000000000001,2011-12-06 12:45:00,2010-12-05 16:24:00,42,3
21694,SMALL REGAL  SILVER CANDLEPOT ,111,327.45000000000005,2011-12-05 14:03:00,2010-12-01 13:51:00,18,3
21695,SMALL SILVER FLOWER CANDLE POT,241,710.9500000000002,2011-11-30 09:53:00,2010-12-05 14:25:00,34,9
21696,SMALL SILVER TRELLIS CANDLEPOT,220,649.0000000000001,2011-11-23 14:35:00,2010-12-05 13:03:00,29,15
21698,MOCK LOBSTER FRIDGE MAGNET,230,102.58,2011-12-07 16:47:00,2010-12-17 16:53:00,21,1
21700,BIG DOUGHNUT FRIDGE MAGNETS,918,780.3,2011-12-07 13:46:00,2010-12-02 14:40:00,79,1
21703,BAG 125g SWIRLY MARBLES,2040,866.23,2011-12-08 19:24:00,2010-12-01 17:35:00,199,0
21704,BAG 250g SWIRLY MARBLES,1452,1249.02,2011-12-08 19:28:00,2010-12-01 17:35:00,163,0
21705,BAG 500g SWIRLY MARBLES,885,1056.4499999999998,2011-12-09 11:26:00,2010-12-01 11:41:00,103,0
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,225,1099.75,2011-12-06 08:55:00,2010-12-01 11:49:00,66,3
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,118,581.3000000000001,2011-12-06 08:55:00,2010-12-15 15:14:00,45,3
21708,FOLDING UMBRELLA CREAM POLKADOT,102,499.3,2011-11-28 11:00:00,2010-12-01 11:49:00,31,11
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,86,420.1,2011-11-25 13:40:00,2010-12-01 17:35:00,30,13
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,83,402.45,2011-11-25 11:41:00,2010-12-01 11:49:00,30,14
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,50,241.9,2011-11-24 14:40:00,2010-12-01 11:49:00,22,14
21713,CITRONELLA CANDLE FLOWERPOT,564,1184.4,2011-12-06 12:38:00,2010-12-06 08:34:00,123,3
21714,CITRONELLA CANDLE GARDEN POT,977,1221.25,2011-12-07 14:12:00,2010-12-02 15:46:00,124,1
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,693,1767.1499999999999,2011-12-08 13:50:00,2010-12-01 12:03:00,127,0
21716,BOYS VINTAGE TIN SEASIDE BUCKET,774,1978.52,2011-12-06 12:59:00,2010-12-01 12:03:00,126,2
21717,EASTER TIN BUCKET,181,461.54999999999995,2011-03-22 11:05:00,2010-12-15 13:21:00,34,262
21718,RED METAL BEACH SPADE ,984,1232.42,2011-12-08 13:50:00,2010-12-01 12:03:00,137,0
21719,LOVELY BONBON STICKER SHEET,251,213.35,2011-11-28 13:06:00,2010-12-02 10:27:00,33,10
21720,CAKE SHOP  STICKER SHEET,57,48.449999999999996,2011-07-26 09:51:00,2010-12-06 10:19:00,8,136
21721,CANDY SHOP  STICKER SHEET,175,148.75,2011-10-26 13:56:00,2010-12-03 17:20:00,20,43
21722,SWEET PUDDING STICKER SHEET,65,55.24999999999999,2011-11-28 13:06:00,2010-12-02 10:27:00,15,10
21723,ALPHABET HEARTS STICKER SHEET,267,226.95,2011-12-05 16:55:00,2010-12-05 13:00:00,36,3
21724,PANDA AND BUNNIES STICKER SHEET,343,291.55,2011-12-08 11:43:00,2010-12-01 08:45:00,56,1
21725,SWEETIES  STICKERS,226,192.1,2011-11-17 14:26:00,2010-12-06 12:23:00,31,21
21726,MULTI HEARTS  STICKERS,231,196.35,2011-12-07 13:35:00,2010-12-03 17:20:00,36,1
21730,GLASS STAR FROSTED T-LIGHT HOLDER,493,2279.35,2011-12-07 16:56:00,2010-12-01 08:26:00,116,1
21731,RED TOADSTOOL LED NIGHT LIGHT,5087,8432.909999999998,2011-12-09 10:46:00,2010-12-01 08:45:00,461,0
21733,RED HANGING HEART T-LIGHT HOLDER,2949,8714.43,2011-12-08 14:38:00,2010-12-01 11:41:00,608,0
21735,TWO DOOR CURIO CABINET,1,6.0,2011-05-11 13:42:00,2011-05-11 13:42:00,1,211
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,44,61.620000000000005,2011-04-06 12:08:00,2011-01-20 12:04:00,4,247
21738,COSY SLIPPER SHOES SMALL  RED ,43,126.85000000000001,2011-10-20 12:43:00,2010-12-01 11:49:00,18,50
21739,COSY SLIPPER SHOES SMALL GREEN,141,411.54,2011-12-08 13:50:00,2010-12-01 11:49:00,48,0
21741,COSY SLIPPER SHOES LARGE GREEN,131,386.45000000000005,2011-11-16 12:08:00,2010-12-02 12:09:00,28,23
21742,LARGE ROUND WICKER PLATTER ,192,1142.4,2011-12-08 16:18:00,2010-12-01 12:49:00,89,0
21743,STAR PORTABLE TABLE LIGHT ,130,383.50000000000006,2011-09-13 11:24:00,2010-12-01 11:21:00,29,87
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,365,1122.19,2011-11-24 13:40:00,2010-12-01 11:21:00,80,14
21745,GAOLERS KEYS DECORATIVE GARDEN ,892,3275.88,2011-12-07 11:43:00,2010-12-02 14:26:00,202,2
21746,SMALL RED RETROSPOT WINDMILL,1726,2162.34,2011-11-29 08:07:00,2010-12-06 13:41:00,168,10
21747,SMALL SKULL WINDMILL,305,381.25,2011-11-30 14:00:00,2010-12-19 14:41:00,39,8
21749,LARGE RED RETROSPOT WINDMILL,532,1114.2,2011-11-17 12:55:00,2010-12-14 16:23:00,97,21
21750,LARGE SKULL WINDMILL,77,161.70000000000002,2011-10-18 13:29:00,2011-03-18 13:51:00,16,51
21754,HOME BUILDING BLOCK WORD,2595,15285.050000000001,2011-12-08 13:59:00,2010-12-01 08:34:00,688,0
21755,LOVE BUILDING BLOCK WORD,1922,11386.25,2011-12-09 12:00:00,2010-12-01 08:34:00,554,0
21756,BATH BUILDING BLOCK WORD,777,4632.900000000001,2011-12-08 13:22:00,2010-12-01 08:35:00,241,0
21757,LIGHTHOUSE PRINTED METAL SIGN,6,29.700000000000003,2011-02-17 12:29:00,2011-01-09 11:34:00,3,295
21758,VINTAGE SHELLS PRINT,32,202.4,2011-11-16 08:53:00,2011-01-31 15:52:00,14,23
21770,OPEN CLOSED METAL SIGN,865,4277.55,2011-12-08 17:37:00,2011-03-24 12:11:00,331,0
21773,DECORATIVE ROSE BATHROOM BOTTLE,488,450.64,2011-11-29 14:20:00,2010-12-07 15:03:00,54,9
21774,DECORATIVE CATS BATHROOM BOTTLE,343,349.07,2011-11-29 14:20:00,2010-12-05 11:57:00,48,9
21775,DECORATIVE FLORE BATHROOM BOTTLE,235,293.75,2011-11-29 14:20:00,2011-01-13 15:34:00,40,9
21785,RAIN PONCHO ,3,2.55,2011-01-09 11:27:00,2010-12-05 12:53:00,3,334
21786,POLKADOT RAIN HAT ,1058,451.33,2011-12-08 19:57:00,2010-12-01 13:24:00,83,0
21787,RAIN PONCHO RETROSPOT,2032,1730.08,2011-12-06 11:39:00,2010-12-05 11:57:00,155,3
21788,KIDS RAIN MAC BLUE,671,571.13,2011-12-06 11:39:00,2010-12-02 16:38:00,61,3
21789,KIDS RAIN MAC PINK,700,590.98,2011-12-02 13:12:00,2010-12-01 16:57:00,65,6
21790,VINTAGE SNAP CARDS,6793,5843.469999999999,2011-12-09 12:20:00,2010-12-01 11:57:00,664,0
21791,VINTAGE HEADS AND TAILS CARD GAME ,4172,5263.4,2011-12-08 19:24:00,2010-12-01 08:45:00,459,0
21792,CLASSIC FRENCH STYLE BASKET GREEN ,331,1388.65,2011-08-03 12:58:00,2010-12-15 15:00:00,70,127
21793,CLASSIC FRENCH STYLE BASKET BROWN,256,1082.44,2011-11-28 15:54:00,2010-12-19 13:31:00,65,10
21794,CLASSIC FRENCH STYLE BASKET NATURAL,400,1665.52,2011-10-24 17:07:00,2010-12-01 12:43:00,90,45
21801,CHRISTMAS TREE DECORATION WITH BELL,61,25.62,2011-10-30 11:22:00,2010-12-05 12:35:00,11,40
21802,CHRISTMAS TREE HEART DECORATION,169,70.98,2011-11-21 11:55:00,2010-12-05 12:35:00,23,18
21803,CHRISTMAS TREE STAR DECORATION,93,39.06,2011-12-09 12:20:00,2010-12-05 12:35:00,22,0
21804,WHITE CHRISTMAS GARLAND STARS TREES,178,656.7,2011-12-02 11:28:00,2010-12-01 12:43:00,40,7
21807,WHITE CHRISTMAS STAR DECORATION,126,52.92,2011-10-31 16:24:00,2010-12-05 12:35:00,17,38
21808,"CHRISTMAS GARLAND STARS,TREES",99,366.25,2011-12-08 13:50:00,2010-12-01 15:35:00,21,0
21809,CHRISTMAS HANGING TREE WITH BELL,369,248.22,2011-12-09 12:20:00,2010-12-01 15:35:00,59,0
21810,CHRISTMAS HANGING STAR WITH BELL,694,438.38,2011-12-09 10:51:00,2010-12-01 12:49:00,94,0
21811,CHRISTMAS HANGING HEART WITH BELL,72,90.0,2011-01-12 13:40:00,2010-12-01 11:45:00,14,330
21811,HANGING HEART WITH BELL,660,436.46,2011-11-23 12:45:00,2011-02-27 12:41:00,76,16
21812,GARLAND WITH HEARTS AND BELLS,187,904.6500000000001,2011-12-06 11:51:00,2010-12-06 15:14:00,41,3
21813,GARLAND WITH STARS AND BELLS,208,1008.6,2011-12-06 11:51:00,2010-12-01 15:35:00,39,3
21814,HEART T-LIGHT HOLDER ,71,102.95,2011-11-27 13:00:00,2010-12-01 12:23:00,12,11
21815,STAR  T-LIGHT HOLDER ,131,189.95,2011-11-23 12:58:00,2010-12-01 12:23:00,18,15
21816,CHRISTMAS TREE T-LIGHT HOLDER,33,47.849999999999994,2011-11-27 13:00:00,2010-12-01 12:23:00,7,11
21817,GLITTER CHRISTMAS TREE,254,135.86,2011-11-09 15:17:00,2010-12-01 15:35:00,36,29
21818,GLITTER CHRISTMAS HEART ,82,69.69999999999999,2010-12-21 13:58:00,2010-12-01 15:35:00,14,352
21818,GLITTER HEART DECORATION,598,274.06,2011-12-07 16:56:00,2011-02-02 12:26:00,87,1
21819,GLITTER CHRISTMAS STAR ,514,255.1,2011-12-08 13:50:00,2010-12-05 14:45:00,79,0
21820,GLITTER HEART GARLAND WITH BELLS ,288,1068.59,2011-12-05 16:05:00,2010-12-02 19:18:00,58,3
21821,GLITTER STAR GARLAND WITH BELLS ,223,825.45,2011-11-29 16:16:00,2010-12-02 19:18:00,40,9
21822,GLITTER CHRISTMAS TREE WITH BELLS,375,336.43,2011-12-07 11:16:00,2010-12-05 16:24:00,53,2
21823,PAINTED METAL HEART WITH HOLLY BELL,859,505.66999999999996,2011-11-15 12:02:00,2010-12-01 11:45:00,64,24
21824,PAINTED METAL STAR WITH HOLLY BELLS,1113,566.5699999999999,2011-11-15 12:02:00,2010-12-01 11:45:00,66,24
21826,EIGHT PIECE DINOSAUR SET,92,115.0,2011-03-16 13:00:00,2010-12-01 12:54:00,18,267
21827,EIGHT PIECE CREEPY CRAWLIE SET,6,7.5,2011-03-29 17:23:00,2010-12-06 12:55:00,3,254
21828,EIGHT PIECE SNAKE  SET,311,388.75,2011-12-07 12:41:00,2010-12-03 12:24:00,68,2
21829,DINOSAUR KEYRINGS ASSORTED,28,9.87,2011-10-17 13:31:00,2011-02-07 11:56:00,6,52
21830,ASSORTED CREEPY CRAWLIES,1639,690.43,2011-11-23 13:39:00,2010-12-03 12:24:00,74,15
21832,CHOCOLATE CALCULATOR,779,1296.83,2011-12-08 19:57:00,2010-12-01 09:45:00,115,0
21833,CAMOUFLAGE LED TORCH,1164,1967.16,2011-12-07 12:26:00,2010-12-01 14:05:00,101,2
21836,GINGHAM OVEN GLOVE RED HEART ,3,11.25,2011-01-20 15:22:00,2010-12-05 12:29:00,2,322
21839,MUMMY MOUSE RED GINGHAM RIBBON,1,5.45,2011-03-27 14:28:00,2011-03-27 14:28:00,1,256
21841,BABY MOUSE RED GINGHAM DRESS,44,187.0,2011-11-29 10:57:00,2011-03-07 17:52:00,19,10
21844,RED RETROSPOT MUG,877,2553.55,2011-12-06 14:30:00,2010-12-01 10:52:00,123,2
21845,DAIRY MAID STRIPE MUG,274,367.66,2011-10-17 14:51:00,2010-12-03 14:54:00,42,52
21846,PINK DIAMANTE PEN IN GIFT BOX,64,299.3,2011-12-08 19:28:00,2010-12-08 15:56:00,19,0
21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,44.550000000000004,2011-11-02 15:56:00,2011-03-28 14:33:00,5,36
21849,SILVER DIAMANTE PEN IN GIFT BOX,49,242.55,2011-12-04 14:45:00,2010-12-02 13:32:00,21,4
21850,BLUE  DIAMANTE PEN IN GIFT BOX,24,118.80000000000001,2011-12-06 12:56:00,2010-12-01 16:57:00,20,2
21851,LILAC DIAMANTE PEN IN GIFT BOX,23,113.85000000000001,2011-11-17 14:29:00,2010-12-02 13:32:00,12,21
21864,UNION JACK FLAG PASSPORT COVER ,351,724.8000000000001,2011-12-08 12:07:00,2010-12-05 13:00:00,91,1
21865,PINK UNION JACK  PASSPORT COVER ,220,457.08000000000004,2011-12-08 12:07:00,2010-12-05 13:42:00,68,1
21866,UNION JACK FLAG LUGGAGE TAG,534,666.71,2011-12-08 12:07:00,2010-12-01 11:45:00,106,1
21867,PINK UNION JACK  LUGGAGE TAG,261,330.02,2011-12-08 20:01:00,2010-12-01 11:45:00,75,0
21868,POTTING SHED TEA MUG,1840,2376.56,2011-12-05 17:17:00,2010-12-02 11:22:00,224,3
21870,I CAN ONLY PLEASE ONE PERSON MUG,1169,1461.25,2011-06-06 16:41:00,2010-12-01 13:24:00,134,185
21871,SAVE THE PLANET MUG,1983,2700.71,2011-12-09 10:20:00,2010-12-01 09:02:00,253,0
21872,GLAMOROUS  MUG,593,765.73,2011-12-09 08:48:00,2010-12-02 11:45:00,114,0
21873,IF YOU CAN'T STAND THE HEAT MUG,383,490.99,2011-12-08 13:59:00,2010-12-01 13:24:00,76,0
21874,GIN AND TONIC MUG,1453,1947.05,2011-12-08 15:31:00,2010-12-01 13:24:00,188,0
21875,KINGS CHOICE MUG,596,761.32,2011-12-06 15:43:00,2010-12-02 11:02:00,104,2
21876,POTTERING MUG,1261,1782.9299999999998,2011-12-08 10:59:00,2010-12-05 10:36:00,176,1
21877,HOME SWEET HOME MUG,2220,3035.92,2011-12-09 10:20:00,2010-12-01 17:24:00,279,0
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1454,1236.6799999999998,2011-12-08 13:50:00,2010-12-03 10:43:00,140,0
21879,HEARTS GIFT TAPE,713,242.65000000000003,2011-12-05 16:55:00,2010-12-09 14:55:00,53,3
21880,RED RETROSPOT TAPE,1170,581.1,2011-12-07 17:05:00,2010-12-01 11:49:00,95,1
21881,CUTE CATS TAPE,495,224.35000000000002,2011-12-05 17:17:00,2010-12-02 10:27:00,42,3
21882,SKULLS TAPE,406,153.5,2011-11-28 13:26:00,2010-12-03 11:19:00,37,10
21883,STARS GIFT TAPE ,1128,535.46,2011-12-07 17:05:00,2010-12-01 08:45:00,90,1
21884,CAKES AND BOWS GIFT  TAPE,501,204.21,2011-12-04 11:45:00,2010-12-03 11:19:00,40,5
21888,BINGO SET,981,3723.27,2011-12-04 14:15:00,2010-12-01 16:57:00,271,4
21889,WOODEN BOX OF DOMINOES,3709,4698.1,2011-12-08 18:42:00,2010-12-01 10:29:00,431,0
21890,S/6 WOODEN SKITTLES IN COTTON BAG,774,2483.16,2011-12-08 18:22:00,2010-12-01 12:03:00,170,0
21891,TRADITIONAL WOODEN SKIPPING ROPE,2642,3703.2999999999997,2011-12-08 18:22:00,2010-12-01 10:29:00,318,0
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2280,2918.97,2011-12-06 12:59:00,2010-12-01 12:03:00,287,2
21894,POTTING SHED SEED ENVELOPES,471,604.48,2011-12-08 13:50:00,2010-12-01 12:31:00,71,0
21895,POTTING SHED SOW 'N' GROW SET,1,4.25,2010-12-01 12:31:00,2010-12-01 12:31:00,1,373
21896,POTTING SHED TWINE,334,701.4000000000001,2011-11-22 13:02:00,2010-12-08 12:46:00,86,16
21898,POTTING SHED ROSE CANDLE,7,20.650000000000002,2011-03-15 12:11:00,2011-02-17 12:42:00,5,269
21899,GARAGE KEY FOB,682,458.0,2011-12-08 16:18:00,2011-07-03 15:53:00,114,0
21899,"KEY FOB , GARAGE DESIGN",910,591.5,2011-07-04 16:08:00,2010-12-02 14:09:00,96,157
21900,"KEY FOB , SHED",1977,1316.41,2011-12-08 16:18:00,2010-12-05 13:00:00,255,0
21901,"KEY FOB , BACK DOOR ",1550,1021.22,2011-12-08 17:54:00,2010-12-02 14:09:00,230,0
21902,"KEY FOB , FRONT  DOOR ",1189,779.71,2011-12-08 16:18:00,2010-12-02 14:09:00,157,0
21903,MAN FLU METAL SIGN,791,1734.7800000000002,2011-12-07 14:34:00,2010-12-05 13:55:00,148,1
21904,HOUSE WRECKING METAL SIGN ,50,105.0,2011-05-25 17:31:00,2010-12-05 13:55:00,23,197
21905,MORE BUTTER METAL SIGN ,504,563.11,2011-11-29 15:39:00,2010-12-03 12:43:00,107,9
21906,PHARMACIE FIRST AID TIN,241,1620.79,2011-12-05 14:19:00,2010-12-03 13:43:00,90,3
21907,I'M ON HOLIDAY METAL SIGN,2052,4313.35,2011-12-07 15:56:00,2010-12-01 11:21:00,324,1
21908,CHOCOLATE THIS WAY METAL SIGN,2265,4823.040000000001,2011-12-08 15:31:00,2010-12-02 15:55:00,359,0
21910,WAY OUT METAL SIGN ,36,59.39999999999999,2011-02-16 16:57:00,2010-12-05 16:24:00,8,295
21911,GARDEN METAL SIGN ,105,173.24999999999997,2011-03-07 13:10:00,2010-12-02 14:09:00,20,276
21912,VINTAGE SNAKES & LADDERS,929,3543.11,2011-12-08 13:04:00,2010-12-01 09:45:00,258,0
21913,VINTAGE SEASIDE JIGSAW PUZZLES,305,1142.53,2011-12-07 13:35:00,2010-12-01 08:45:00,89,1
21914,BLUE HARMONICA IN BOX ,4671,5951.28,2011-12-09 12:16:00,2010-12-01 11:41:00,479,0
21915,RED  HARMONICA IN BOX ,5351,6786.97,2011-12-07 15:07:00,2010-12-01 11:41:00,494,1
21916,SET 12 RETRO WHITE CHALK STICKS,2572,1088.44,2011-12-09 12:31:00,2010-12-01 11:57:00,231,0
21917,SET 12 KIDS  WHITE CHALK STICKS,2122,893.7,2011-12-08 15:03:00,2010-12-01 14:34:00,172,0
21918,SET 12 KIDS COLOUR  CHALK STICKS,3400,1435.48,2011-12-09 12:16:00,2010-12-02 09:44:00,266,0
21922,UNION STRIPE WITH FRINGE  HAMMOCK,318,2210.1000000000004,2011-08-09 16:42:00,2011-02-01 10:14:00,25,121
21925,UNION STRIPE CUSHION COVER ,403,503.75,2011-12-06 17:49:00,2010-12-02 17:41:00,65,2
21926,RED/CREAM STRIPE CUSHION COVER ,374,467.5,2011-12-08 12:07:00,2011-01-19 15:20:00,59,1
21927,BLUE/CREAM STRIPE CUSHION COVER ,582,727.5,2011-12-01 19:42:00,2010-12-02 17:41:00,97,7
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3104,6401.2300000000005,2011-12-07 14:52:00,2011-02-25 14:25:00,403,1
21928,JUMBO BAG SCANDINAVIAN PAISLEY,635,1232.25,2011-05-11 13:49:00,2010-12-01 14:11:00,78,211
21929,JUMBO BAG PINK VINTAGE PAISLEY,4078,8320.3,2011-12-09 12:19:00,2010-12-01 09:37:00,547,0
21930,JUMBO STORAGE BAG SKULLS,3014,6153.63,2011-12-08 13:46:00,2010-12-01 12:43:00,440,0
21931,JUMBO STORAGE BAG SUKI,5403,11043.94,2011-12-09 12:19:00,2010-12-01 09:37:00,705,0
21932,SCANDINAVIAN PAISLEY PICNIC BAG,1813,3239.56,2011-12-07 12:55:00,2010-12-03 12:24:00,308,1
21933,PINK VINTAGE PAISLEY PICNIC BAG,1756,3126.7599999999998,2011-12-08 13:04:00,2010-12-03 12:24:00,274,0
21934,SKULL SHOULDER BAG,908,1494.2,2011-12-06 15:17:00,2010-12-01 09:41:00,135,2
21935,SUKI  SHOULDER BAG,1233,2029.87,2011-12-08 12:07:00,2010-12-01 14:41:00,196,1
21936,RED RETROSPOT PICNIC BAG,1876,5559.76,2011-12-07 14:54:00,2010-12-03 15:19:00,355,1
21937,STRAWBERRY   PICNIC BAG,910,2684.5,2011-12-04 12:32:00,2010-12-03 15:19:00,193,5
21942,SKULLS DESIGN FLANNEL,161,134.54999999999998,2011-12-05 14:49:00,2010-12-10 12:20:00,23,3
21943,CAKES AND RABBITS DESIGN FLANNEL ,57,48.449999999999996,2011-11-11 11:11:00,2010-12-12 12:08:00,10,28
21944,KITTENS DESIGN FLANNEL,232,177.88,2011-12-08 19:57:00,2010-12-12 10:57:00,33,0
